Comment,Designator,Footprint,LCSC
1μF,C4,C_Radial_D4.0mm_H7.0mm_P1.50mm,
.1μF,C5,C_Radial_D4.0mm_H7.0mm_P1.50mm,
220,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1M,RV1,Potentiometer_ACP_CA9-V10_Vertical_Hole,
Barrel_Jack,J1,BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal,
SW_SPDT,SW3,SW_Slide_1P2T_CK_OS102011MS2Q,
1k,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
.01μF,C6,C_Radial_D4.0mm_H7.0mm_P1.50mm,
NE555P,U3,DIP-8_W7.62mm,
0.01μF,C3,C_Radial_D4.0mm_H7.0mm_P1.50mm,
NE555P,U2,DIP-8_W7.62mm,
1M,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
0.33μF,C1,C_Radial_D4.0mm_H7.0mm_P1.50mm,
SW_Push,SW1,SW_PUSH_6mm,
Conn_01x03_Pin,J3,PinHeader_1x03_P2.54mm_Horizontal,
1k,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
220,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
0.1μF,C2,C_Radial_D4.0mm_H7.0mm_P1.50mm,
L7805,U1,TO-220-3_Vertical,
SW_SPST,SW2,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm,
